name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;246;0;650;3153;1939;3153;1618;0
header;189;182;189;217;1872;217;1872;182
A;1026;251;1026;285;1053;285;1053;251
B;755;259;755;278;771;278;771;259
B;1623;702;1623;720;1640;720;1640;702
B;1677;1256;1677;1274;1695;1274;1695;1256
A;1031;1330;1031;1335;1066;1335;1066;1330
B;1187;1473;1187;1496;1208;1496;1208;1473
B;1281;1939;1281;2023;1348;2023;1348;1939
A;1721;2194;1721;2203;1730;2203;1730;2194
A;1029;2258;1029;2263;1067;2263;1067;2258
B;1034;2709;1034;2741;1057;2741;1057;2709
A;1134;2728;1134;2735;1141;2735;1141;2728
B;1000;2805;1000;2824;1016;2824;1016;2805
