name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1029;0;958;3157;1839;3157;1911;0
header;159;146;159;181;1964;181;1964;146
A;1876;256;1876;257;1878;257;1878;256
A;1587;455;1587;455;1588;455;1588;455
A;1531;637;1531;649;1538;649;1538;637
A;1759;660;1759;686;1773;686;1773;660
B;1012;908;1012;940;1034;940;1034;908
B;1460;1037;1460;1050;1468;1050;1468;1037
A;1870;1172;1870;1178;1876;1178;1876;1172
C;1000;1676;1000;1709;1021;1709;1021;1676
A;1114;1740;1114;1746;1120;1746;1120;1740
A;1862;1835;1862;1848;1868;1848;1868;1835
A;1136;2363;1136;2368;1140;2368;1140;2363
D;993;2369;993;2400;1015;2400;1015;2369
A;1437;2496;1437;2502;1442;2502;1442;2496
A;1839;2726;1839;2732;1849;2732;1849;2726
